lapangan_usaha,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
"A. Pertanian, Kehutanan, dan Perikanan",1403710,1378331.4,1354399.1,1307253,1258375.7,1210955.5,1171445.8,1129052.7,1083141.8,1039440.7,993857.3,956119.7
B. Pertambangan dan Penggalian,822099.5,790475.2,806206.2,796505,779678.4,774593.1,767327.2,794489.5,791054.4,771561.6,748956.3,718128.6
C. Industri Pengolahan,2284821.7,2209920.3,2276667.8,2193368.4,2103466.1,2016876.9,1934533.2,1854256.7,1771961.9,1697787.2,1607452,1512760.8
D. Pengadaan Listrik dan Gas,114861.1,108826.4,111436.7,107108.6,101551.3,100009.9,94894.8,94047.2,88805.1,84393,76678.1,72549.1
E. Konstruksi,1102517.7,1072334.8,1108425,1048082.8,987924.9,925040.3,879163.9,826615.6,772719.6,728226.4,683421.9,626905.4
F. Perdagangan Besar dan Eceran,1450226.3,1385747.4,1440185.7,1376878.7,1311746.5,1255760.8,1207164.5,1177297.5,1119272.1,1067911.5,1013199.6,923923.8
G. Transportasi dan Pergudangan,406187.6,393437.9,463125.9,435336.5,406679.4,374843.4,348855.9,326933,304506.2,284662.6,265774,245375.4
H. Akomodasi dan Makan Minum,310754.7,299122.4,333304.6,315068.6,298129.7,282823.4,268922.4,257815.5,243748.3,228232.6,214022,200281.8
I. Informasi dan Komunikasi,696460.4,652062.9,589536.1,538762.7,503420.7,459208.1,421769.8,384475.6,349150.1,316278.7,281693.8,256048.1
J. Jasa Keuangan dan Asuransi,464638.6,457482.9,443093.1,415620.6,398971.4,378279.4,347269,319825.5,305515.1,280896.1,256443,239728.4
K. Real Estate,333282.9,324259.4,316901.1,299648.2,289568.5,279500.5,266979.6,256440.2,244237.5,229254.2,213441.4,198213.5
L. Jasa lainnya,1269873,1250212.1,1246324.2,1160830.3,1083761.2,1032172,983840.2,923237.2,872660.3,825288.4,781569.7,727796.7
